Full Name,Account Type,Account Subtype,Description,Total Balance,Currency,Account
BANK OF AFRICA KENYA LTD,Bank,Current,,473949.87,KES,BANK OF AFRICA KENYA LTD
BANK OF AFRICA-USD,Bank,Current,,104483.96,USD,BANK OF AFRICA-USD
Cash and cash equivalents,Bank,Cash and cash equivalents,,,KES,Cash and cash equivalents
Cash Sale,Bank,Current,,231850.0,KES,Cash Sale
CASH/BANK,Bank,Current,,0.0,KES,CASH/BANK
KCB-1120892554,Bank,Current,,1090347.0,KES,KCB-1120892554
KCB-1277321388,Bank,Current,,2341465.35,KES,KCB-1277321388
KCB-1354805984,Bank,Current,,20540.0,KES,KCB-1354805984
Petty Cash,Bank,Current,,-3930971.95,KES,Petty Cash
Sales and Marketing; sales & marketing,Bank,Current,,0.0,KES,Sales and Marketing; sales & marketing
sales& marketing,Bank,Cash on hand,,,KES,sales& marketing
TILL,Bank,Current,,4045563.26,KES,TILL
Accounts Receivable (A/R),Accounts receivable (A/R),Accounts Receivable (A/R),,3875819.1,KES,Accounts Receivable (A/R)
Accounts Receivable (A/R) - USD,Accounts receivable (A/R),Accounts Receivable (A/R),,181706.5,USD,Accounts Receivable (A/R) - USD
cash,Accounts receivable (A/R),Accounts Receivable (A/R),,,KES,cash
Allowance for bad debt,Other Current Assets,Allowance for bad debts,,,KES,Allowance for bad debt
Hand Pump,Other Current Assets,Other current assets,,2699.0,KES,Hand Pump
Inventory,Other Current Assets,Inventory,,1107170.56,KES,Inventory
Inventory Asset,Other Current Assets,Inventory,,923641.4,KES,Inventory Asset
Nokia Phones,Other Current Assets,Inventory,,5000.0,KES,Nokia Phones
Office Partition,Other Current Assets,Other current assets,,,KES,Office Partition
Prepaid expenses,Other Current Assets,Prepaid Expenses,,,KES,Prepaid expenses
Uncategorised Asset,Other Current Assets,Other current assets,,,KES,Uncategorised Asset
Undeposited Funds,Other Current Assets,Undeposited Funds,,,KES,Undeposited Funds
Accumulated depletion,Fixed Assets,Accumulated depletion,Vaccum Sealer depreciation,0.0,KES,Accumulated depletion
"Accumulated depreciation on property, plant and equipment",Fixed Assets,"Accumulated depreciation on property, plant and equipment",,1950323.89,KES,"Accumulated depreciation on property, plant and equipment"
Cameras,Fixed Assets,Accumulated depletion,,43440.0,KES,Cameras
Computer & Accessories,Fixed Assets,Machinery and equipment,Computer & Accessories,428827.06,KES,Computer & Accessories
Computer & Accessories:Cost,Fixed Assets,Machinery and equipment,Cost,428827.06,KES,Cost
Computer & Accessories:Cost:Depreciation,Fixed Assets,"Accumulated depreciation on property, plant and equipment",,-755746.56,KES,Depreciation
