Supplier,Email,Full Name,Billing Address,Phone,Deleted,Tax Id,Balance,Last Modified By,Supplier Display Name,Created Date,Last Modified Date
2NK INVESTMENT P051592111Q,,2NK INVESTMENT P051592111Q,,,False,,,Mary Wangeci,2NK INVESTMENT P051592111Q,2025-04-01T12:37:50,2025-04-01T12:37:50
2NK LTD P051124413F,,2NK LTD P051124413F,,,False,,,Mary Wangeci,2NK LTD P051124413F,2025-09-05T09:53:09,2025-09-05T09:53:09
4 N.T.E Sacco,,4 N.T.E Sacco,,,False,,-116.0,Samuel Muchemi,4 N.T.E Sacco,2022-09-28T18:17:41,2023-08-15T12:48:47
AAR INSURANCE COMPANY LIMITED,,AAR INSURANCE COMPANY LIMITED,,,False,,,Samuel Muchemi,AAR INSURANCE COMPANY LIMITED,2022-09-28T18:17:41,2022-09-28T18:17:41
ABEDI ENTERPRISES LTD P052157494N,,ABEDI ENTERPRISES LTD P052157494N,,,False,,,Mary Wangeci,ABEDI ENTERPRISES LTD P052157494N,2023-05-03T09:46:04,2023-05-03T09:46:04
ABEDI STATIONERS,,,,,False,,,Mary Wangeci,ABEDI STATIONERS,2023-10-31T10:07:40,2023-10-31T10:07:40
ABUDANT GRACE SUPER STORES,,,,,False,,,Mary Wangeci,ABUDANT GRACE SUPER STORES,2023-10-31T09:55:57,2023-10-31T09:55:57
ABUNDANT GRACE SUPER STORES,,ABUNDANT GRACE SUPER STORES,,,False,,,Mary Wangeci,ABUNDANT GRACE SUPER STORES,2023-05-03T09:48:42,2023-05-03T09:48:42
ACK PARKING SILO,,ACK PARKING SILO,,,False,,,Mary Wangeci,ACK PARKING SILO,2025-10-03T11:30:59,2025-10-03T11:30:59
ACME Auto TyresP051548965A,,ACME Auto TyresP051548965A,,,False,,,Samuel Muchemi,ACME Auto TyresP051548965A,2022-09-28T18:17:42,2022-09-28T18:17:42
ADLI EXPRESS LIMITED P051723684Q,,,,,False,,,Mary Wangeci,ADLI EXPRESS LIMITED P051723684Q,2024-06-03T15:13:20,2024-06-03T15:13:20
AFRIMEDLINE LTD,,,,,False,,,Mary Wangeci,AFRIMEDLINE LTD,2024-03-28T13:02:44,2024-03-28T13:02:44
Agile Industries Ltd,,Agile Industries Ltd,,,False,,,Mary Wangeci,Agile Industries Ltd,2022-11-03T08:33:35,2022-11-03T08:33:35
AGITECH,,,,,False,,,Mary Wangeci,AGITECH,2024-11-05T15:29:35,2024-11-05T15:29:35
agrichem,,agrichem,,,False,,,Samuel Muchemi,agrichem,2022-09-28T18:17:42,2022-09-28T18:17:42
